name,percent,loc,floc,local,app,lmemp
mcached_100,100.0,-1,0,False,mcached,100
mcached_100,100.0,-1,0,False,mcached,95
mcached_100,100.0,-1,0,False,mcached,90
mcached_100,100.0,-1,79,False,mcached,85
mcached_100,100.0,-1,227,False,mcached,80
mcached_100,100.0,-1,249,False,mcached,75
mcached_100,100.0,-1,277,False,mcached,70
mcached_100,100.0,-1,290,False,mcached,65
mcached_100,100.0,-1,313,False,mcached,60
mcached_100,100.0,-1,309,False,mcached,55
mcached_100,100.0,-1,312,False,mcached,50
mcached_100,100.0,-1,322,False,mcached,45
mcached_100,100.0,-1,322,False,mcached,40
mcached_100,100.0,-1,327,False,mcached,35
mcached_100,100.0,-1,341,False,mcached,30
mcached_100,100.0,-1,333,False,mcached,25
mcached_100,100.0,-1,336,False,mcached,20
mcached_100,100.0,-1,334,False,mcached,15
mcached_100,100.0,-1,347,False,mcached,10
mcached_100,100.0,-1,329,False,mcached,5
