Exp,Bench,Ops,LocalMem(MB),LocalMem(%),Time(s),Faults,FaultsZP,FaultsNoZP,Evicts,Suppressed,Mallocd,Freed,MaxRSS,Desc
run-01-24-19-46-10,all,1000000,1324.11,100,697,412447,412447,0,0,,1492,1389,1313947648,fulltrace
run-01-24-19-57-52,all,1000000,1257.91,95,675,410673,410673,0,0,,1536,1546,1316589568,fulltrace
run-01-24-20-09-13,all,1000000,1191.7,90,696,632498,405196,227302,204864,,1542,1516,1248858112,fulltrace
run-01-24-20-20-58,all,1000000,1125.49,85,667,983499,415113,568386,510080,,1492,1566,1179652096,fulltrace
run-01-24-20-32-15,all,1000000,1059.29,80,621,1138026,406969,731057,689472,,1536,1576,1110446080,fulltrace
run-01-24-20-42-46,all,1000000,993.084,75,576,1478394,400442,1077952,1010496,,1586,1405,1041240064,fulltrace
run-01-24-20-52-34,all,1000000,926.878,70,578,1828509,408096,1420413,1389056,,1586,1530,970985472,fulltrace
run-01-24-21-02-26,all,1000000,860.672,65,600,1966668,403999,1562669,1550592,,1592,1432,901779456,fulltrace
run-01-24-21-12-40,all,1000000,794.467,60,569,2851848,411948,2439900,2403904,,1542,1478,832573440,fulltrace
run-01-24-21-22-26,all,1000000,728.261,55,608,2920623,406629,2513994,2565312,2,1586,1411,763367424,fulltrace
run-01-24-21-32-50,all,1000000,662.056,50,599,4646997,401683,4245314,4276288,3,1592,1535,694161408,fulltrace
run-01-24-21-43-09,all,1000000,595.85,45,639,6708508,410466,6298042,6258304,3,1592,1481,623906816,fulltrace
run-01-24-21-54-14,all,1000000,529.645,40,653,8650885,402821,8248064,8204032,2,1592,1363,554700800,fulltrace
run-01-24-22-05-36,all,1000000,463.439,35,677,10411942,408366,10003576,9928576,5,1542,1445,485494784,fulltrace
run-01-24-22-17-31,all,1000000,397.233,30,740,13096007,410571,12685436,12472000,2,1536,1507,416288768,fulltrace
run-01-24-22-30-41,all,1000000,331.028,25,730,15602085,405609,15196476,14859904,35,1536,1473,347082752,fulltrace
run-01-24-22-43-41,all,1000000,264.822,20,760,18266910,415150,17851760,17322048,22,1586,1529,276828160,fulltrace
run-01-24-22-57-18,all,1000000,198.617,15,828,21012111,411999,20600112,19832768,168,1536,1376,207622144,fulltrace
run-01-24-23-12-20,all,1000000,132.411,10,955,27658954,408805,27250149,25584128,152,1589,1511,138416128,fulltrace
run-01-24-23-29-38,all,1000000,66.2056,5,1177,42222883,410305,41812578,37843712,1752,1536,1528,69210112,fulltrace
