Exp,Bench,Ops,LocalMem(MB),LocalMem(%),Time(s),Faults,FaultsZP,FaultsNoZP,FaultsR,FaultsW,FaultsWP,Evicts,Suppressed,Mallocd,Freed,MaxRSS,Desc
run-01-22-09-33-08,all,1000000,87.6714,100,,174798,174798,0,70,174728,0,0,,220,31,86433792,fulltrace
run-01-22-09-41-18,all,1000000,83.2878,95,,176110,175446,664,231,175879,140,640,,220,31,83914752,fulltrace
run-01-22-09-49-36,all,1000000,78.9042,90,,183247,175057,8190,1955,181292,882,8896,169,220,31,81747968,fulltrace
run-01-22-09-56-26,all,1000000,74.5207,85,,205555,175249,30306,14523,191032,2386,32256,14,220,31,77570048,fulltrace
run-01-22-10-03-27,all,1000000,70.1371,80,,358983,176203,182780,139896,219087,11022,181052,26,220,31,73400320,fulltrace
run-01-22-10-10-42,all,1000000,65.7535,75,,804680,175401,629279,473650,331030,90834,559744,49,220,31,68157440,fulltrace
run-01-22-10-18-01,all,1000000,61.37,70,,1500040,176676,1323364,990357,509683,220546,1134460,103,220,31,63959040,fulltrace
run-01-22-10-26-12,all,1000000,56.9864,65,,2677550,175364,2502186,1837239,840311,475041,2072815,1109,220,31,58720256,fulltrace
run-01-22-10-34-47,all,1000000,52.6028,60,,4327308,176813,4150495,3095420,1231888,768931,3439674,1561,220,31,54530048,fulltrace
run-01-22-10-46-48,all,1000000,48.2192,55,,5597687,175805,5421882,3998627,1599060,1038158,4448568,3425,220,31,50335744,fulltrace
run-01-22-10-57-22,all,1000000,43.8357,50,,8085183,176774,7908409,5912702,2172481,1418994,6567359,5277,220,31,45088768,fulltrace
run-01-22-11-08-50,all,1000000,39.4521,45,,10523903,174338,10349565,7836503,2687400,1729908,8705707,4494,220,31,40894464,fulltrace
run-01-22-11-22-03,all,1000000,35.0685,40,,13255440,175242,13080198,10019718,3235722,2033796,11141888,2775,220,31,36704256,fulltrace
run-01-22-11-35-55,all,1000000,30.685,35,,17630695,175605,17455090,13553313,4077382,2508619,15056950,605,220,31,31461376,fulltrace
run-01-22-11-51-07,all,1000000,26.3014,30,,21943341,175265,21768076,17108845,4834496,2926144,18962410,1830,220,31,27267072,fulltrace
run-01-22-12-09-03,all,1000000,21.9178,25,,29753534,175451,29578083,23604260,6149274,3542100,26169856,2621,220,31,22024192,fulltrace
run-01-22-12-28-51,all,1000000,17.5343,20,,39249535,175442,39074093,31578620,7670915,4056913,35161339,2778,220,31,17829888,fulltrace
run-01-22-12-52-42,all,1000000,13.1507,15,,50388248,175084,50213164,41681617,8706631,4706366,45660732,5177,220,31,13635584,fulltrace
run-01-22-13-20-22,all,1000000,8.76714,10,,75753653,175825,75577828,63085590,12668063,6180871,69577856,12459,220,31,8392704,fulltrace
run-01-22-13-58-00,all,1000000,4.38357,5,,114676617,175533,114501084,97582835,17093782,9444406,105234944,13955,220,31,4198400,fulltrace
