Exp,Ops,LocalMem(MB),LocalMem(%),Time(s),Faults,FaultsZP,FaultsNoZP,FaultsR,FaultsW,FaultsWP,Evicts,Suppressed,Mallocd,Freed,MaxRSS,Desc
run-01-24-19-45-23,20000000,630,100,,137141,137141,0,3994,133147,0,0,,861,73,563208192,fulltrace
run-01-24-19-55-09,20000000,598.5,95,,137099,137099,0,3994,133105,0,0,,831,73,563032064,fulltrace
run-01-24-20-04-40,20000000,567,90,,137124,137124,0,3994,133130,0,0,,861,73,563130368,fulltrace
run-01-24-20-14-25,20000000,535.5,85,,160093,137102,22991,9852,150241,5858,17536,,844,73,560992256,fulltrace
run-01-24-20-24-16,20000000,504,80,,8892224,137144,8755080,2448672,6443552,2391069,6375360,,829,73,528486400,fulltrace
run-01-24-20-34-44,20000000,472.5,75,,21557528,137262,21420266,6113734,15443794,5980374,15462400,,829,73,494931968,fulltrace
run-01-24-20-45-37,20000000,441,70,,34582273,137357,34444916,9891178,24691095,9630616,24845824,,844,73,462426112,fulltrace
run-01-24-20-57-24,20000000,409.5,65,,44683305,137345,44545960,13744411,30938894,13297433,31288384,,857,73,428871680,fulltrace
run-01-24-21-10-37,20000000,378,60,,54456983,137339,54319644,17691588,36765395,16862908,37505152,,844,73,396365824,fulltrace
run-01-24-21-25-34,20000000,346.5,55,,63698317,137406,63560911,21695895,42002422,20243623,43373632,,859,73,362811392,fulltrace
run-01-24-21-43-01,20000000,315,50,,71882953,137405,71745548,25531023,46351930,23278916,48529920,,842,73,330305536,fulltrace
run-01-24-22-02-17,20000000,283.5,45,,81874392,137403,81736989,29671995,52202397,26425708,55381952,,857,73,296751104,fulltrace
run-01-24-22-22-44,20000000,252,40,,92115042,137409,91977633,33725347,58389695,29387149,62668800,,859,73,264245248,fulltrace
run-01-24-22-46-58,20000000,220.5,35,,103059551,137402,102922149,38230094,64829457,32598416,70410560,,844,73,230690816,fulltrace
run-01-24-23-12-34,20000000,189,30,,114434814,137402,114297412,42906857,71527957,35816194,78576448,,831,73,198184960,fulltrace
run-01-24-23-41-09,20000000,157.5,25,,126745448,137402,126608046,47864710,78880738,39089864,87622400,,829,73,164630528,fulltrace
run-01-25-00-14-38,20000000,126,20,,137842457,137251,137705206,52801132,85041325,42130876,95687872,,827,73,132124672,fulltrace
run-01-25-00-56-27,20000000,94.5,15,,152479990,137405,152342585,60342043,92137947,46900014,105568384,,848,73,98570240,fulltrace
run-01-25-01-44-49,20000000,63,10,,168695433,137406,168558027,68026805,100668628,51499174,117196288,,859,73,66064384,fulltrace
run-01-25-02-38-02,20000000,31.5,5,,197845655,137420,197708235,84550779,113294876,59754696,138095872,,859,73,32509952,fulltrace
