Exp,LMem(%),Faults,FLOC,FLOC95,FAddrs
run-01-24-19-45-23,100,0,0,0,0
run-01-24-19-55-09,95,0,0,0,0
run-01-24-20-04-40,90,0,0,0,0
run-01-24-20-14-25,85,22991,79,8,8374
run-01-24-20-24-16,80,8755080,227,6,134894
run-01-24-20-34-44,75,21420266,249,7,134926
run-01-24-20-45-37,70,34444916,277,8,135842
run-01-24-20-57-24,65,44545960,290,9,136185
run-01-24-21-10-37,60,54319644,313,10,136218
run-01-24-21-25-34,55,63560911,309,11,136285
run-01-24-21-43-01,50,71745548,312,12,136315
run-01-24-22-02-17,45,81736989,322,11,136323
run-01-24-22-22-44,40,91977633,322,12,136342
run-01-24-22-46-58,35,102922149,327,11,136701
run-01-24-23-12-34,30,114297412,341,11,136873
run-01-24-23-41-09,25,126608046,333,11,136902
run-01-25-00-14-38,20,137705206,336,10,136762
run-01-25-00-56-27,15,152342585,334,12,137176
run-01-25-01-44-49,10,168558027,347,12,137314
run-01-25-02-38-02,5,197708235,329,13,137443
